support,itemsets
0.07741935483870968,frozenset({'stock'})
0.1870967741935484,frozenset({'technology'})
0.03870967741935484,frozenset({'retail'})
0.05161290322580645,frozenset({'government'})
0.05161290322580645,frozenset({'policy'})
0.06451612903225806,frozenset({'trade'})
0.08387096774193549,frozenset({'championship'})
0.05806451612903226,frozenset({'market'})
0.07741935483870968,frozenset({'film'})
0.07096774193548387,frozenset({'music'})
0.04516129032258064,frozenset({'celebrity'})
0.8387096774193549,frozenset({'recent'})
0.14838709677419354,frozenset({'business'})
0.07741935483870968,frozenset({'company'})
0.03870967741935484,frozenset({'profit'})
0.06451612903225806,frozenset({'hardware'})
0.05806451612903226,frozenset({'digital'})
0.04516129032258064,frozenset({'platform'})
0.1870967741935484,frozenset({'entertainment'})
0.07096774193548387,frozenset({'award'})
0.06451612903225806,frozenset({'theater'})
0.06451612903225806,frozenset({'concert'})
0.07096774193548387,frozenset({'device'})
0.06451612903225806,frozenset({'startup'})
0.04516129032258064,frozenset({'software'})
0.05161290322580645,frozenset({'data'})
0.05161290322580645,frozenset({'network'})
0.03870967741935484,frozenset({'innovation'})
0.03870967741935484,frozenset({'economy'})
0.16774193548387098,frozenset({'politics'})
0.06451612903225806,frozenset({'minister'})
0.04516129032258064,frozenset({'reform'})
0.16129032258064516,frozenset({'sports'})
0.06451612903225806,frozenset({'player'})
0.05161290322580645,frozenset({'season'})
0.04516129032258064,frozenset({'athlete'})
0.05806451612903226,frozenset({'diplomacy'})
0.05806451612903226,frozenset({'election'})
0.04516129032258064,frozenset({'legislation'})
0.03225806451612903,frozenset({'actor'})
0.05161290322580645,frozenset({'tournament'})
0.07741935483870968,frozenset({'parliament'})
0.04516129032258064,frozenset({'vote'})
0.03225806451612903,frozenset({'algorithm'})
0.05806451612903226,frozenset({'score'})
0.03870967741935484,frozenset({'match'})
0.05161290322580645,frozenset({'album'})
0.03225806451612903,frozenset({'performance'})
0.04516129032258064,frozenset({'investment'})
0.06451612903225806,frozenset({'victory'})
0.07096774193548387,frozenset({'show'})
